L/2,density,probability_of_spread,south_wind_speed,west_wind_speed,big-jumps,percentage-burned
450,90,100,0,0,FALSE,100.4331913
450,10,100,0,0,TRUE,4.499526366
450,20,100,0,0,TRUE,2.656714022
450,30,100,0,0,TRUE,1.934215421
450,40,100,0,0,TRUE,2.192021043
450,50,100,0,0,TRUE,3.057004708
450,60,100,0,0,TRUE,62.98037341
450,70,100,0,0,TRUE,98.9531768
450,80,100,0,0,TRUE,100.2930914
450,90,100,0,0,TRUE,100.4305686
450,10,100,0,0,FALSE,4.361617764
450,20,100,0,0,FALSE,2.502754604
450,30,100,0,0,FALSE,2.175080559
450,40,100,0,0,FALSE,2.179847451
450,50,100,0,0,FALSE,3.263084172
450,60,100,0,0,FALSE,57.07933972
450,70,100,0,0,FALSE,98.76052866
450,80,100,0,0,FALSE,100.2367735
450,90,100,0,0,FALSE,100.4305533
450,10,100,0,0,TRUE,4.506402983
450,20,100,0,0,TRUE,2.54318618
450,30,100,0,0,TRUE,1.872560397
450,40,100,0,0,TRUE,2.129640876
450,50,100,0,0,TRUE,3.4848
450,60,100,0,0,TRUE,80.47227872
450,70,100,0,0,TRUE,98.8038005
450,80,100,0,0,TRUE,100.2694557
450,90,100,0,0,TRUE,100.4271535
